Date,Emotion,CircleColor,VerseText,CircleColorHex
2025-08-16,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-08-17,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-08-18,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-08-19,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-08-20,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-08-21,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-08-22,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-08-23,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-08-24,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-08-25,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-08-26,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-08-27,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-08-28,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-08-29,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-08-30,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-08-31,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-09-01,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-09-02,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-09-03,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-09-04,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-09-05,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-09-06,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-09-07,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-09-08,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-09-09,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-09-10,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-09-11,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-09-12,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-09-13,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-09-14,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-09-15,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-09-16,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-09-17,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-09-18,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-09-19,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-09-20,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-09-21,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-09-22,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-09-23,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-09-24,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-09-25,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-09-26,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-09-27,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-09-28,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-09-29,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-09-30,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-10-01,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-10-02,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-10-03,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-10-04,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-10-05,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-10-06,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-10-07,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-10-08,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-10-09,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-10-10,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-10-11,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-10-12,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-10-13,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-10-14,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-10-15,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-10-16,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-10-17,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-10-18,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-10-19,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-10-20,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-10-21,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-10-22,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-10-23,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-10-24,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-10-25,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-10-26,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-10-27,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-10-28,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-10-29,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-10-30,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-10-31,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-11-01,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-11-02,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-11-03,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-11-04,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-11-05,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-11-06,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-11-07,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-11-08,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-11-09,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-11-10,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-11-11,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-11-12,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-11-13,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-11-14,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-11-15,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-11-16,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-11-17,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-11-18,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-11-19,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-11-20,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-11-21,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-11-22,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-11-23,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-11-24,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-11-25,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-11-26,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-11-27,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-11-28,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-11-29,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-11-30,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-12-01,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-12-02,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-12-03,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-12-04,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-12-05,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-12-06,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-12-07,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-12-08,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-12-09,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-12-10,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-12-11,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-12-12,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-12-13,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-12-14,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-12-15,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-12-16,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-12-17,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-12-18,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-12-19,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-12-20,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-12-21,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-12-22,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-12-23,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-12-24,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-12-25,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-12-26,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-12-27,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-12-28,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-12-29,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-12-30,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-12-31,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
